"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","954","Покупатель оформляет заказ на товар из каталога","tests.e2e","2026-09-06","passed","2026-09-06","","test_purchase","",""
"","124","Сессия устанавливается через API без формы логина","tests.auth","2026-09-06","passed","2026-09-06","","test_auth_bypass","",""
"","524","Пользователь входит в магазин через форму логина","tests.auth","2026-09-06","passed","2026-09-06","","test_login","",""
"","302","Пользователь входит в магазин через форму логина","tests.auth","2026-09-06","passed","2026-09-06","","test_login","",""
"","161","Сессия устанавливается через API без формы логина","tests.auth","2026-09-06","passed","2026-09-06","","test_auth_bypass","",""
"","201","Каталог товаров загружается и доступен покупателю","tests.smoke","2026-09-06","passed","2026-09-06","","test_smoke","",""
"","102","Каталог товаров загружается и доступен покупателю","tests.smoke","2026-09-06","passed","2026-09-06","","test_smoke","",""
"","2169","Пользователь входит в магазин через форму логина","tests.auth","2026-09-06","passed","2026-09-06","","test_login","",""
"","1534","Покупатель оформляет заказ на товар из каталога","tests.e2e","2026-09-06","passed","2026-09-06","","test_purchase","",""
"","289","Сессия устанавливается через API без формы логина","tests.auth","2026-09-06","passed","2026-09-06","","test_auth_bypass","",""
"","231","Каталог товаров загружается и доступен покупателю","tests.smoke","2026-09-06","passed","2026-09-06","","test_smoke","",""
"","3216","Покупатель оформляет заказ на товар из каталога","tests.e2e","2026-09-06","passed","2026-09-06","","test_purchase","",""
